Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Finland,FIN,536,536,536,536,536,536,536,536,536,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,France,FRA,867,867,867,867,867,867,867,867,867,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Gabon,GAB,1831,1831,1831,1831,1831,1831,1831,1831,1831,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,"Gambia, The",GMB,836,836,836,836,836,836,836,836,836,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Georgia,GEO,1026,1026,1026,1026,1026,1026,1026,1026,1026,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Germany,DEU,700,700,700,700,700,700,700,700,700,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Ghana,GHA,1187,1187,1187,1187,1187,1187,1187,1187,1187,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Greece,GRC,652,652,652,652,652,652,652,652,652,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Grenada,GRD,2350,2350,2350,2350,2350,2350,2350,2350,2350,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Guatemala,GTM,1996,1996,1996,1996,1996,1996,1996,1996,1996,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Guinea,GIN,1651,1651,1651,1651,1651,1651,1651,1651,1651,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Guinea-Bissau,GNB,1577,1577,1577,1577,1577,1577,1577,1577,1577,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Guyana,GUY,2387,2387,2387,2387,2387,2387,2387,2387,2387,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Haiti,HTI,1440,1440,1440,1440,1440,1440,1440,1440,1440,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Honduras,HND,1976,1976,1976,1976,1976,1976,1976,1976,1976,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Hungary,HUN,589,589,589,589,589,589,589,589,589,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Iceland,ISL,1940,1940,1940,1940,1940,1940,1940,1940,1940,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,India,IND,1083,1083,1083,1083,1083,1083,1083,1083,1083,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Indonesia,IDN,2702,2702,2702,2702,2702,2702,2702,2702,2702,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,"Iran, Islamic Rep.",IRN,228,228,228,228,228,228,228,228,228,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Iraq,IRQ,216,216,216,216,216,216,216,216,216,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Ireland,IRL,1118,1118,1118,1118,1118,1118,1118,1118,1118,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Israel,ISR,435,435,435,435,435,435,435,435,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Italy,ITA,832,832,832,832,832,832,832,832,832,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Jamaica,JAM,2051,2051,2051,2051,2051,2051,2051,2051,2051,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Japan,JPN,1668,1668,1668,1668,1668,1668,1668,1668,1668,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Jordan,JOR,111,111,111,111,111,111,111,111,111,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Kazakhstan,KAZ,250,250,250,250,250,250,250,250,250,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Kenya,KEN,630,630,630,630,630,630,630,630,630,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,"Korea, Dem. People's Rep.",PRK,1054,1054,1054,1054,1054,1054,1054,1054,1054,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,"Korea, Rep.",KOR,1274,1274,1274,1274,1274,1274,1274,1274,1274,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Kuwait,KWT,121,121,121,121,121,121,121,121,121,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Kyrgyz Republic,KGZ,533,533,533,533,533,533,533,533,533,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Lao PDR,LAO,1834,1834,1834,1834,1834,1834,1834,1834,1834,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Latvia,LVA,667,667,667,667,667,667,667,667,667,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Lebanon,LBN,661,661,661,661,661,661,661,661,661,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Lesotho,LSO,788,788,788,788,788,788,788,788,788,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Liberia,LBR,2391,2391,2391,2391,2391,2391,2391,2391,2391,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Libya,LBY,56,56,56,56,56,56,56,56,56,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Lithuania,LTU,656,656,656,656,656,656,656,656,656,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Luxembourg,LUX,934,934,934,934,934,934,934,934,934,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Madagascar,MDG,1513,1513,1513,1513,1513,1513,1513,1513,1513,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Malawi,MWI,1181,1181,1181,1181,1181,1181,1181,1181,1181,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Malaysia,MYS,2875,2875,2875,2875,2875,2875,2875,2875,2875,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Maldives,MDV,1972,1972,1972,1972,1972,1972,1972,1972,1972,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Mali,MLI,282,282,282,282,282,282,282,282,282,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Malta,MLT,560,560,560,560,560,560,560,560,560,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Mauritania,MRT,92,92,92,92,92,92,92,92,92,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Mauritius,MUS,2041,2041,2041,2041,2041,2041,2041,2041,2041,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Mexico,MEX,758,758,758,758,758,758,758,758,758,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Moldova,MDA,450,450,450,450,450,450,450,450,450,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Mongolia,MNG,241,241,241,241,241,241,241,241,241,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Montenegro,MNE,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Morocco,MAR,346,346,346,346,346,346,346,346,346,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Mozambique,MOZ,1032,1032,1032,1032,1032,1032,1032,1032,1032,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Myanmar,MMR,2091,2091,2091,2091,2091,2091,2091,2091,2091,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Namibia,NAM,285,285,285,285,285,285,285,285,285,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Nepal,NPL,1500,1500,1500,1500,1500,1500,1500,1500,1500,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Netherlands,NLD,778,778,778,778,778,778,778,778,778,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,New Zealand,NZL,1732,1732,1732,1732,1732,1732,1732,1732,1732,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Nicaragua,NIC,2280,2280,2280,2280,2280,2280,2280,2280,2280,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Niger,NER,151,151,151,151,151,151,151,151,151,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Nigeria,NGA,1150,1150,1150,1150,1150,1150,1150,1150,1150,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,North Macedonia,MKD,619,619,619,619,619,619,619,619,619,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Norway,NOR,1414,1414,1414,1414,1414,1414,1414,1414,1414,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Oman,OMN,125,125,125,125,125,125,125,125,125,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Pakistan,PAK,494,494,494,494,494,494,494,494,494,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Panama,PAN,2928,2928,2928,2928,2928,2928,2928,2928,2928,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Papua New Guinea,PNG,3142,3142,3142,3142,3142,3142,3142,3142,3142,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Paraguay,PRY,1130,1130,1130,1130,1130,1130,1130,1130,1130,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Peru,PER,1738,1738,1738,1738,1738,1738,1738,1738,1738,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Philippines,PHL,2348,2348,2348,2348,2348,2348,2348,2348,2348,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Poland,POL,600,600,600,600,600,600,600,600,600,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Portugal,PRT,854,854,854,854,854,854,854,854,854,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Puerto Rico (US),PRI,2054,2054,2054,2054,2054,2054,2054,2054,2054,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Qatar,QAT,74,74,74,74,74,74,74,74,74,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Romania,ROU,637,637,637,637,637,637,637,637,637,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Russian Federation,RUS,460,460,460,460,460,460,460,460,460,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Rwanda,RWA,1212,1212,1212,1212,1212,1212,1212,1212,1212,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Samoa,WSM,2880,2880,2880,2880,2880,2880,2880,2880,2880,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Sao Tome and Principe,STP,3200,3200,3200,3200,3200,3200,3200,3200,3200,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Saudi Arabia,SAU,59,59,59,59,59,59,59,59,59,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Senegal,SEN,686,686,686,686,686,686,686,686,686,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Serbia,SRB,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Seychelles,SYC,2330,2330,2330,2330,2330,2330,2330,2330,2330,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Sierra Leone,SLE,2526,2526,2526,2526,2526,2526,2526,2526,2526,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Singapore,SGP,2497,2497,2497,2497,2497,2497,2497,2497,2497,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Slovak Republic,SVK,824,824,824,824,824,824,824,824,824,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Slovenia,SVN,1162,1162,1162,1162,1162,1162,1162,1162,1162,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Solomon Islands,SLB,3028,3028,3028,3028,3028,3028,3028,3028,3028,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,"Somalia, Fed. Rep.",SOM,282,282,282,282,282,282,282,282,282,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,South Africa,ZAF,495,495,495,495,495,495,495,495,495,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,South Sudan,SSD,900,900,900,900,900,900,900,900,900,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Spain,ESP,636,636,636,636,636,636,636,636,636,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Sri Lanka,LKA,1712,1712,1712,1712,1712,1712,1712,1712,1712,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,St. Kitts and Nevis,KNA,1427,1427,1427,1427,1427,1427,1427,1427,1427,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,St. Lucia,LCA,2301,2301,2301,2301,2301,2301,2301,2301,2301,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,St. Vincent and the Grenadines,VCT,1583,1583,1583,1583,1583,1583,1583,1583,1583,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Sudan,SDN,250,250,250,250,250,250,250,250,250,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Suriname,SUR,2331,2331,2331,2331,2331,2331,2331,2331,2331,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Sweden,SWE,624,624,624,624,624,624,624,624,624,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Switzerland,CHE,1537,1537,1537,1537,1537,1537,1537,1537,1537,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Syrian Arab Republic,SYR,252,252,252,252,252,252,252,252,252,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Tajikistan,TJK,691,691,691,691,691,691,691,691,691,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Tanzania,TZA,1071,1071,1071,1071,1071,1071,1071,1071,1071,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Thailand,THA,1622,1622,1622,1622,1622,1622,1622,1622,1622,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Timor-Leste,TLS,1500,1500,1500,1500,1500,1500,1500,1500,1500,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Togo,TGO,1168,1168,1168,1168,1168,1168,1168,1168,1168,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Tonga,TON,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Trinidad and Tobago,TTO,2200,2200,2200,2200,2200,2200,2200,2200,2200,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Tunisia,TUN,207,207,207,207,207,207,207,207,207,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Turkiye,TUR,593,593,593,593,593,593,593,593,593,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Turkmenistan,TKM,161,161,161,161,161,161,161,161,161,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Uganda,UGA,1180,1180,1180,1180,1180,1180,1180,1180,1180,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Ukraine,UKR,565,565,565,565,565,565,565,565,565,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,United Arab Emirates,ARE,78,78,78,78,78,78,78,78,78,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,United Kingdom,GBR,1220,1220,1220,1220,1220,1220,1220,1220,1220,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,United States,USA,715,715,715,715,715,715,715,715,715,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Uruguay,URY,1300,1300,1300,1300,1300,1300,1300,1300,1300,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Uzbekistan,UZB,206,206,206,206,206,206,206,206,206,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Vanuatu,VUT,2000,2000,2000,2000,2000,2000,2000,2000,2000,..,..
